45
1019818;2;0;648;
1020079;2;673;1285;
1019717;2;1310;1838;
1019818;2;1853;2249;
1019718;2;2264;2648;
1020062;2;2673;2997;
1020062;2;2997;3285;
1020094;2;3305;3593;
1019733;2;3618;3906;
1020062;2;3931;4183;
1020062;2;4183;4435;
1019733;2;4460;4700;
1019718;2;4715;4955;
1020080;2;4980;5160;
1020080;2;5160;5340;
1020079;2;5340;5484;
1020080;2;5484;5628;
1019819;2;5653;5797;
1019819;2;5797;5941;
1019789;2;5956;6100;
1020079;2;6125;6233;
1020080;2;6233;6341;
1020080;2;6341;6449;
1019820;2;6474;6582;
1020094;2;6607;6703;
1020094;2;6703;6799;
1019732;2;6824;6920;
1019719;2;6935;7031;
1020063;2;7056;7128;
1020063;2;7128;7200;
1019820;2;7225;7297;
1019746;2;7312;7360;
1019742;2;7375;7423;
1019743;2;7423;7471;
1019743;2;7471;7519;
1019743;2;7519;7567;
1019789;2;7582;7630;
1020090;2;7645;7684;
1020063;2;7709;7745;
1020063;2;7745;7781;
1020063;2;7781;7817;
1020090;2;7842;7878;
1020090;2;7878;7914;
1020200;2;7924;7960;
1020200;2;7960;7964;
