0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44
35	25	25	25	25	20	20	20	20	25	25	25	25	20	20	20	20	20	20	25	25	25	25	25	25	25	25	25	25	25	20	15	20	15	20	0	25	25	20	15	25	25	25	25	25
36	25	25	25	25	25	25	25	25	20	20	20	20	25	25	25	25	25	25	20	15	20	15	25	25	25	25	20	20	15	25	25	25	25	25	25	0	20	25	25	25	25	20	20	20
37	25	25	25	25	25	25	25	25	20	20	20	20	25	25	25	25	25	25	15	20	20	20	25	25	25	25	20	20	20	25	25	25	25	25	25	20	0	25	25	25	25	20	20	20
38	25	25	25	25	20	20	20	20	25	25	25	25	20	10	20	20	20	20	25	25	25	25	25	25	25	25	25	25	25	10	20	10	20	10	20	25	25	0	20	25	25	25	25	25
39	25	25	25	25	20	20	15	20	25	25	25	25	15	20	20	20	20	20	25	25	25	25	25	25	25	25	25	25	25	20	15	20	15	20	15	25	25	20	0	25	25	25	25	25
40	10	20	10	15	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	20	20	20	25	25	25	25	25	25	25	25	25	25	0	15	25	25	25
41	20	10	15	10	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	20	20	20	25	25	25	25	25	25	25	25	25	25	15	0	25	25	25
42	25	25	25	25	25	25	25	25	10	15	15	15	25	25	25	25	25	25	10	15	15	15	25	25	25	25	25	25	25	25	25	25	25	25	25	20	20	25	25	25	25	0	15	15
43	25	25	25	25	25	25	25	25	15	15	15	15	25	25	25	25	25	25	15	10	15	10	25	25	25	25	25	25	20	25	25	25	25	25	25	20	20	25	25	25	25	15	0	15
44	25	25	25	25	25	25	25	25	15	15	10	15	25	25	25	25	25	25	15	15	10	15	25	25	25	25	20	25	25	25	25	25	25	25	25	20	20	25	25	25	25	15	15	0
